央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?userid=423579792&sign=788f74153514b070687e8176f3a434fd04f9b466ae747c66bd7e4b6c29fb6f1f8ebf667ebdebcfcf88ac2ad58359029a7cbb825e43ffc77897287059e3adf8110e1e46139f74c7c7cc8af9aa7a9a8621&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=423579792&sign=4fedb04db58deecb4e4769a4db26ac436d638b1052b9b54dd7f6c170dbbd2279cc4b2e64d9e9f3b0a4226e854486d81b76f05a301e3f352567ca686235bca23565e936b79d67e907eaf11b45&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?userid=423579792&sign=883ffab41c8327123a7d04149b77cafc5ef34581aa358fd671cc5f5bc2756c3f9067a96e135bdd3a68a0b1ba8d7e0930fae027df8a7648fcc200e9042feab0ae2316b2cf123b8a7e88295a05821a3159&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=423579792&sign=b8ab1e62d98800a1d3a5b387f8cfc49561559996838f731f21099715340c51e3be68d37a00515c040cb54ba393f1a037b6778441e2936b68b7e9ee08b1907881fa943af7f20ffdd1b72b06a1&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?userid=423579792&sign=5298b7b238210695e1b81417dc1d740dc2e7591c58df3e1446325ad1056b92f76bed6576a9df79224b9b8a28fd9bb05741f1e01569fee1a1599a488ccc95992e73ef25e44f5a65069473f915af8e033a&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=423579792&sign=cb81a8565430e5c0e1bfb47821d2eac1a24db242691f3bce3f189e261ff86987fd95f2c63d26a5561921bf631e92778ce6113b6eaa46b84ab9d6925502703872857e1ed9a82342abe33f386e&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?userid=423579792&sign=414646625e07adba303337de2bceafe8765313f8e8effbf2661303f55e2356e7db6b1fb3f31802e42f19ebe79754c373b5ab980ca6c93def90edc565725e586d80bd38e2d78fdc30d5d3125853d14049&auth_token=acb0c268be4342419aa3ba49796b45e0
cctv4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=423579792&sign=8d37fe61d3d12e093aee42f809a49c6c1fdc9c4ff1a49892221d6111c134f5f996a52711f599c361cca597558cbdaded61df7cad510a74b0cde1bff4eb2cb7f8c750e1514112d0dabf2b15fc&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV4欧洲,https://mgtv.ottiptv.cc/mg/608807419.m3u8?userid=423579792&sign=9f8cdc1882e886eb260b61394f8d217bf7747eec3fe3680d8d984f2f387081c79e1b2d7dff707b9e86f6c234ec192ec4ef4d1ea5be8363a66addeb4ca0f540287d8b523ad09d9b0121660b8939b9a797&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4美洲,https://mgtv.ottiptv.cc/mg/608807416.m3u8?userid=423579792&sign=06050673b549465c780f3a90c24e8ada709da36e54045880c45020c834c2a1027a0cc5271f13e76a96f0ba760ad5d6dd9b012c1a290025415fe9c63f447ce7111ce72ed5c32eabdc8b49451a26494315&auth_token=acb0c268be4342419aa3ba49796b45e0
